time_s,rollAccelerationCommand_rps2,measuredRollRate_rps,rollAttitudeCommand_rad,measuredRollAttitude_rad
4.37,0,-2.709667e-05,0,0
4.38,0,-2.511676e-05,0,0
4.39,0,-2.249925e-05,0,0
4.4,0,-2.275757e-05,0,0
4.41,0,-2.370862e-05,0,0
4.42,0,-2.59859e-05,0,0
4.43,0,-2.515506e-05,0,0
4.44,0,-2.579258e-05,0,0
4.45,0,-2.82554e-05,0,0
4.46,0,-2.905899e-05,0,0
4.47,0,-2.785581e-05,0,0
4.48,0,-2.8299e-05,0,0
4.49,0,-2.791971e-05,0,0
4.5,0,-2.936139e-05,0,0
4.51,0,-3.014097e-05,0,0
4.52,0,-2.859751e-05,0,0
4.53,0,-2.876415e-05,0,0
4.54,0,-2.767224e-05,0,0
4.55,0,-2.651223e-05,0,0
4.56,0,-2.638038e-05,0,0
4.57,0,-2.493705e-05,0,0
4.58,0,-2.420897e-05,0,0
4.59,0,-2.592861e-05,0,0
4.6,0,-2.40129e-05,0,0
4.61,0,-2.506232e-05,0,0
4.62,0,-2.852291e-05,0,0
4.63,0,-2.737092e-05,0,0
4.64,0,-2.869708e-05,0,0
4.65,0,-2.599224e-05,0,0
4.66,0,-2.851747e-05,0,0
4.67,0,-3.186851e-05,0,0
4.68,0,-3.320867e-05,0,0
4.69,0,-3.434212e-05,0,0
4.7,0,-3.428975e-05,0,0
4.71,0,-3.288023e-05,0,0
4.72,0,-3.125996e-05,0,0
4.73,0,-3.288834e-05,0,0
4.74,0,-3.318575e-05,0,0
4.75,0,-3.448859e-05,0,0
4.76,0,-3.284478e-05,0,0
4.77,0,-3.083047e-05,0,0
4.78,0,-3.002716e-05,0,0
4.79,0,-3.269247e-05,0,0
4.8,0,-3.304481e-05,0,0
4.81,0,-3.139981e-05,0,0
4.82,0,-3.124443e-05,0,0
4.83,0,-3.139093e-05,0,0
4.84,0,-3.117649e-05,0,0
4.85,0,-2.89573e-05,0,0
4.86,0,-2.855181e-05,0,0
4.87,0,-3.110739e-05,0,0
4.88,0,-3.419927e-05,0,0
4.89,0,-3.465879e-05,0,0
4.9,0,-3.296901e-05,0,0
4.91,0,-3.208281e-05,0,0
4.92,0,-3.196075e-05,0,0
4.93,0,-3.363895e-05,0,0
4.94,0,-3.25751e-05,0,0
4.95,0,-3.364953e-05,0,0
4.96,0,-3.531232e-05,0,0
4.97,0,-3.547427e-05,0,0
4.98,0,-3.666199e-05,0,0
4.99,0,-3.713682e-05,0,0
5,0,-3.497456e-05,0,0
5.01,0,-3.641696e-05,0,0
5.02,0,-3.897586e-05,0,0
5.03,0,-4.033875e-05,0,0
5.04,0,-4.011208e-05,0,0
5.05,0,-3.677605e-05,0,0
5.06,0,-3.561602e-05,0,0
5.07,0,-3.57155e-05,0,0
5.08,0,-3.490637e-05,0,0
5.09,0,-3.349637e-05,0,0
5.1,0,-3.267619e-05,0,0
5.11,0,-3.421479e-05,0,0
5.12,0,-3.128787e-05,0,0
5.13,0,-3.324575e-05,0,0
5.14,0,-3.340441e-05,0,0
5.15,0,-3.582348e-05,0,0
5.16,0,-3.52219e-05,0,0
5.17,0,-3.557861e-05,0,0
5.18,0,-3.606879e-05,0,0
5.19,0,-3.423915e-05,0,0
5.2,0,-3.593479e-05,0,0
5.21,0,-3.272148e-05,0,0
5.22,0,-3.114117e-05,0,0
5.23,0,-3.094845e-05,0,0
5.24,0,-3.204319e-05,0,0
5.25,0,-3.052175e-05,0,0
5.26,0,-2.996997e-05,0,0
5.27,0,-3.03129e-05,0,0
5.28,0,-2.776569e-05,0,0
5.29,0,-2.594735e-05,0,0
5.3,0,-2.677572e-05,0,0
5.31,0,-2.442209e-05,0,0
5.32,0,-2.51189e-05,0,0
5.33,0,-2.802557e-05,0,0
5.34,0,-2.872899e-05,0,0
5.35,0,-2.815018e-05,0,0
5.36,0,-2.824484e-05,0,0
5.37,0,-2.967276e-05,0,0
5.38,0,-3.249516e-05,0,0
5.39,0,-3.155943e-05,0,0
5.4,0,-3.206179e-05,0,0
5.41,0,-3.256145e-05,0,0
5.42,0,-3.532276e-05,0,0
5.43,0,-3.35491e-05,0,0
5.44,0,-3.390721e-05,0,0
5.45,0,-3.163993e-05,0,0
5.46,0,-3.327597e-05,0,0
5.47,0,-3.168514e-05,0,0
5.48,0,-3.319056e-05,0,0
5.49,0,-3.657137e-05,0,0
5.5,0,-3.695422e-05,0,0
5.51,0,-3.73308e-05,0,0
5.52,0,-3.646006e-05,0,0
5.53,0,-3.6135e-05,0,0
5.54,0,-3.410023e-05,0,0
5.55,0,-3.395186e-05,0,0
5.56,0,-3.416432e-05,0,0
5.57,0,-3.73501e-05,0,0
5.58,0,-3.837675e-05,0,0
5.59,0,-3.834119e-05,0,0
5.6,0,-3.793674e-05,0,0
5.61,0,-4.061174e-05,0,0
5.62,0,-3.878555e-05,0,0
5.63,0,-3.733459e-05,0,0
5.64,0,-3.932785e-05,0,0
5.65,0,-4.27753e-05,0,0
5.66,0,-4.207129e-05,0,0
5.67,0,-4.217866e-05,0,0
5.68,0,-4.23503e-05,0,0
5.69,0,-4.476113e-05,0,0
5.7,0,-4.104249e-05,0,0
5.71,0,-4.2378e-05,0,0
5.72,0,-4.226232e-05,0,0
5.73,0,-4.384121e-05,0,0
5.74,0,-4.788513e-05,0,0
5.75,0,-4.905982e-05,0,0
5.76,0,-4.832618e-05,0,0
5.77,0,-4.991017e-05,0,0
5.78,0,-5.097618e-05,0,0
5.79,0,-5.1488e-05,0,0
5.8,0,-5.002508e-05,0,0
5.81,0,-4.950761e-05,0,0
5.82,0,-4.833948e-05,0,0
5.83,0,-4.724029e-05,0,0
5.84,0,-4.823229e-05,0,0
5.85,0,-4.56058e-05,0,0
5.86,0,-4.444925e-05,0,0
5.87,0,-4.727537e-05,0,0
5.88,0,-4.584977e-05,0,0
5.89,0,-4.807761e-05,0,0
5.9,0,-4.6138e-05,0,0
5.91,0,-4.584311e-05,0,0
5.92,0,-4.548382e-05,0,0
5.93,0,-4.45013e-05,0,0
5.94,0,-4.271906e-05,0,0
5.95,0,-4.342057e-05,0,0
5.96,0,-4.483819e-05,0,0
5.97,0,-4.25144e-05,0,0
5.98,0,-4.126046e-05,0,0
5.99,0,-4.445418e-05,0,0
6,0,-4.444476e-05,0,0
6.01,0,-4.469206e-05,0,0
6.02,0,-4.636535e-05,0,0
6.03,0,-4.745503e-05,0,0
6.04,0,-4.623772e-05,0,0
6.05,0,-4.250855e-05,0,0
6.06,0,-4.065252e-05,0,0
6.07,0,-4.170564e-05,0,0
6.08,0,-4.211626e-05,0,0
6.09,0,-4.268174e-05,0,0
6.1,0,-4.263589e-05,0,0
6.11,0,-4.294031e-05,0,0
6.12,0,-4.404544e-05,0,0
6.13,0,-4.446369e-05,0,0
6.14,0,-4.548803e-05,0,0
6.15,0,-4.326884e-05,0,0
6.16,0,-4.220773e-05,0,0
6.17,0,-4.085591e-05,0,0
6.18,0,-4.109008e-05,0,0
6.19,0,-4.16007e-05,0,0
6.2,0,-4.03913e-05,0,0
6.21,0,-4.275848e-05,0,0
6.22,0,-3.964386e-05,0,0
6.23,0,-3.740215e-05,0,0
6.24,0,-3.429173e-05,0,0
6.25,0,-3.405102e-05,0,0
6.26,0,-3.271101e-05,0,0
6.27,0,-3.536738e-05,0,0
6.28,0,-3.74274e-05,0,0
6.29,0,-3.760427e-05,0,0
6.3,0,-3.950544e-05,0,0
6.31,0,-4.047623e-05,0,0
6.32,0,-4.014125e-05,0,0
6.33,0,-4.010216e-05,0,0
6.34,0,-4.07599e-05,0,0
6.35,0,-4.416481e-05,0,0
6.36,0,-4.5145e-05,0,0
6.37,0,-4.726525e-05,0,0
6.38,0,-4.721999e-05,0,0
6.39,0,-4.862227e-05,0,0
6.4,0,-4.690488e-05,0,0
6.41,0,-4.712668e-05,0,0
6.42,0,-4.61279e-05,0,0
6.43,0,-4.593952e-05,0,0
6.44,0,-4.50989e-05,0,0
6.45,0,-4.755221e-05,0,0
6.46,0,-4.65679e-05,0,0
6.47,0,-4.725295e-05,0,0
6.48,0,-4.952927e-05,0,0
6.49,0,-4.912488e-05,0,0
6.5,0,-5.136833e-05,0,0
